source	title	description	url	publishedAt	content	final movie	final topic	Notes	coder 1	coder 2	movie 1	movie 2	topic 1	topic 2
/FILM	Godzilla Minus One Director And Star On Making Godzilla Terrifying Again [Exclusive Interview]	/Film spoke with Godzilla Minus One director Takashi Yamazaki and star Ryunosuke Kamiki about bringing the King of the Monsters back to the big screen for Toho.	https://www.slashfilm.com/1450092/godzilla-minus-one-director-star-making-godzilla-terrifying-again-exclusive-interview/	2023-12-01T21:00:32Z	Yamazaki-san, every Godzilla movie adds to the character and to its powers and its look. Something you do here is when Godzilla uses his atomic breath, the spines glow and grow, and it's a very inter… [+1680 chars]	Godzilla	Promo							
/FILM	Why Godzilla Minus One's Box Office Makes It Such A Surprising Hit	On today&amp;#39;s episode of the /Film Daily podcast, Ryan and Ben talk about Godzilla Minus One&amp;#39;s box office performance and look ahead to the first half of 2024.	https://www.slashfilm.com/1462048/why-godzilla-minus-one-box-office-surprising-hit/	2023-12-04T21:45:16Z	To illustrate just how well the movie is performing, this, amazingly enough, represents the biggest box office opening ever for a live-action Japanese film in North America. It's also the largest ope… [+1466 chars]	Godzilla	Box							
Dazed	Martin Scorsese’s editor on the inside story of Killers of the Flower Moon	The director’s longtime editor Thelma Schoonmaker discusses his latest movie and the erotic power of Powell & Pressburger	https://www.dazeddigital.com/film-tv/article/61370/1/martin-scorsese-editor-thelma-schoonmaker-story-of-killers-of-the-flower-moon	2023-11-17T16:04:00Z	In the past few months, you may have noticed cinephiles parading t-shirts with Thelma Schoonmakers name across them, even if theyre a quarter of her age. I started seeing people wearing them at Canne… [+7544 chars]	KOTFM	Promo							
Breitbart News	Disney's 'Wish' Was Expected to Debut at #1 -- but Loses to 'Hunger Games,' 'Napoleon' at Box Office	In a close contest for second place, Ridley Scott's “Napoleon” narrowly outmaneuvered Disney's “Wish” at the box office.	https://www.breitbart.com/entertainment/2023/11/26/disneys-wish-was-expected-to-debut-at-1-but-loses-to-hunger-games-napoleon-at-box-office/	2023-11-26T22:13:30Z	NEW YORK (AP) The Walt Disney Co.s Wish had been expected to rule the Thanksgiving weekend box office, but moviegoers instead feasted on leftovers, as The Hunger Games: The Ballad of Songbirds and Sn… [+5196 chars]	HG, Napoleon, Wish	Box							
Los Angeles Times	'Hunger Games' prequel tops Thanksgiving box office, 'Napoleon,' 'Wish' battle for second	'The Hunger Games: The Ballad of Songbirds & Snakes' fended off 'Napoleon' and 'Wish' to stay at the top of the domestic box for a second straight weekend.	https://www.latimes.com/entertainment-arts/movies/story/2023-11-26/hunger-games-prequel-first-thanksgiving-box-office-napoleon-wish	2023-11-26T19:00:46Z	No one else volunteered as tribute over the Thanksgiving holiday weekend as Lionsgates The Hunger Games: The Ballad of Songbirds &amp; Snakes took home the box office title for the second straight we… [+2758 chars]	HG, Napoleon, Wish	Box							
NPR	How do you make peace with your shortcomings? This man has an answer	Comedian Duncan Trussell speaks on the value of transcendent experiences and how he thinks about life after death.	https://www.npr.org/2023/11/19/1213744622/duncan-trussell-comedy-death-life-wisdom	2023-11-19T11:00:51Z	Duncan Trussell says there is value in transcendent experiences. Emma McIntyre/Getty Images It's almost Thanksgiving, which means I am fully within my rights to deploy a holiday metaphor. And I thi… [+11154 chars]	NR								
Digital Trends	The Hunger Games: The Ballad of Songbirds & Snakes’ ending, explained	Here's everything that happens at the end of The Hunger Games: The Ballad of Songbirds & Snakes.	https://www.digitaltrends.com/movies/the-hunger-games-ballad-of-songbirds-and-snakes-2023-movie-ending-explained/	2023-11-16T21:25:05Z	Murray Close / Lionsgate Warning: This article contains spoilers for The Hunger Games: The Ballad of Songbirds &amp; Snakes (2023). By the time young Coriolanus Snow (Tom Blyth) has committed to fl… [+6065 chars]	HG	Plot							
Business Insider	Robert De Niro's Gotham Awards speech went off the rails after he realized his anti-Trump comments were edited out	Robert De Niro said that a part of his speech was edited out from the teleprompter he was reading from at the Gotham Awards.	https://www.businessinsider.com/robert-de-niro-gotham-awards-speech-says-comments-cut-out-2023-11	2023-11-28T15:53:48Z	A fuming Robert De Niro went off script during his speech at Monday night's Gotham Awards, claiming that some of his remarks, which condemned former President Donald Trump, were cut out without his p… [+2088 chars]	NM								
Boing Boing	Israel loosens rules for retrieving sperm from corpses	For years, the Israeli government has allowed for widows to request posthumous sperm retrieval from fallen soldiers in the Israeli Defense Force. As The Times of Israel explains:     Sperm must be retrieved within 24 hours after death to increase its chances …	https://boingboing.net/2023/11/20/israel-loosens-rules-for-retrieving-sperm-from-corpses.html	2023-11-20T23:57:15Z	For years, the Israeli government has allowed for widows to request posthumous sperm retrieval from fallen soldiers in the Israeli Defense Force. As The Times of Israel explains: Sperm must be retri… [+857 chars]	NR								
Deadline	Robert De Niro Says Part Of His Speech Excised At Gotham Awards Then Lets It Rip For ‘Killers Of The Flower Moon’ Tribute	Robert De Niro led an eventful to a Killers Of The Flower Moon tribute at the Gotham Awards, seeming to struggle with the teleprompter then circling back to say that his speech had been edited without his knowledge. The star of Martin Scorsese film then went …	https://deadline.com/2023/11/robert-de-niro-killers-of-the-flower-moon-gotham-awards-tribute-1235638999/	2023-11-28T02:26:42Z	Robert De Niro led an eventful Killers Of The Flower Moon tribute at the Gotham Awards tonight, seeming to struggle with the teleprompter but then circling back after a bit to say that his speech had… [+1425 chars]	KOTFM	NR							
Screen Rant	Martin Scorsese Plays The Movie Bracket Challenge In New TikTok (& An Absolute Classic Wins)	Octogenarian auteur and certified cinephile Martin Scorsese participates in the TikTok movie bracket challenge, and a classic film wins his bracket.	https://screenrant.com/martin-scorsese-movie-bracket-tiktok-2001-space-odyssey/	2023-11-14T15:55:45Z	Summary <ul><li> Martin Scorsese, known for his cinematic expertise, participates in a TikTok movie bracket challenge and chooses 2001: A Space Odyssey as his preferred film. </li><li> Despite Weste… [+3038 chars]	NM								
The Atlantic	The Joys of Carole Lombard, Zadie Smith, and High-School Movies	Entertainment musts from Jennifer Senior	https://www.theatlantic.com/newsletters/archive/2023/11/the-joys-of-carole-lombard-zadie-smith-and-high-school-movies/676108/?utm_source=feed	2023-11-26T13:00:00Z	This is an edition of The Atlantic Daily, a newsletter that guides you through the biggest stories of the day, helps you discover new ideas, and recommends the best in culture. Sign up for it here.We… [+8739 chars]	NM								
Livejournal.com	Photos from the Hunger Games Los Angeles premiere	pic.twitter.com/y3vnq3GvgM — ' (@cravemedia_) November 14, 2023Tom Blyth and Rachel Zeglerpic.twitter.com/W4HvFzYglh — ' (@cravemedia_) November 14, 2023Hunter Schaferpic.twitter.com/jNqoYn244F — ' (@cravemedia_) November 14, 2023Viola Davispic.twitter.com…	https://ohnotheydidnt.livejournal.com/127233366.html	2023-11-14T13:12:05Z	pic.twitter.com/y3vnq3GvgM — ' (@cravemedia_) November 14, 2023 Tom Blyth and Rachel Zegler pic.twitter.com/W4HvFzYglh — ' (@cravemedia_) November 14, 2023 Hunter Schafer pic.twitter.com/jNqoYn… [+786 chars]	HG	Promo							
IndieWire	Francis Ford Coppola Says Ridley Scott ‘Should Be Given a Dukedom for Such Outstanding Outstanding Quality Output’	"There have been rare artists who astounded everyone with their best work while in their eighties," Coppola said, "but we must take our hats off to Ridley."	https://www.indiewire.com/news/general-news/francis-ford-coppola-ridley-scott-deserves-dukedom-1234928577/	2023-11-23T16:00:00Z	Francis Ford Coppola couldn’t contain himself when it came to praising Ridley Scott as a fellow auteur.  Coppola took to Instagram to applaud Scott’s work ethic in his eighties, as well as voice his… [+1935 chars]	NM	Prod							
ComingSoon.net	The Hunger Games: The Ballad of Songbirds & Snakes Ending Explained & Spoilers	After The Hunger Games: The Ballad of Songbirds & Snakes‘ ending left many fans speechless, they are curious about what really happened. Here is the ending explained with spoilers. Did Lucy Gray-Baird die? It is unknown if Lucy Gray-Baird died or is still ali…	https://www.comingsoon.net/guides/news/1406664-the-hunger-games-ballad-of-songbirds-and-snakes-ending-explained-spoilers	2023-11-17T13:30:06Z	After The Hunger Games: The Ballad of Songbirds &amp; Snakes ending left many fans speechless, they are curious about what really happened. Here is the ending explained with spoilers. Did Lucy Gray-… [+1907 chars]	HG	Plot							
Deadline	Martin Scorsese To Receive David O. Selznick Award From PGA	Martin Scorsese has has received virtually every award possible for his work, including an Oscar, a Grammy, Emmys, Golden Globes, BAFTA and DGA awards, the AFI Life Achievement Award, the HFPA’s Cecil B. DeMille Award and a Kennedy Center Honor. On February 2…	https://deadline.com/2023/12/martin-scorsese-david-o-selznick-award-pga-1235657138/	2023-12-07T20:30:26Z	Martin Scorsese has has received virtually every award possible for his work, including an Oscar, a Grammy, Emmys, Golden Globes, BAFTA and DGA awards, the AFI Life Achievement Award, the HFPA’s Ceci… [+1981 chars]	NM	Awards							
9to5Mac	Apple original film ‘Killers of the Flower Moon’ will be available to buy/rent from tomorrow	The much-hyped Apple original film Killers of the Flower Moon (starring Leonardo DiCaprio, Robert De Niro, and Lily Gladstone) will be available on video-on-demand services to buy or rent from tomorrow, Apple announced today. It will be available at “leading …	https://9to5mac.com/2023/12/04/killers-of-the-flower-moon-buy-rent/	2023-12-04T14:10:00Z	The much-hyped Apple original film Killers of the Flower Moon (starring Leonardo DiCaprio, Robert De Niro, and Lily Gladstone) will be available on video-on-demand services to buy or rent from tomorr… [+1809 chars]	KOTFM	Streaming							
The A.V. Club	Here are the winners from the 2023 Gotham Awards	The Gotham Awards were tonight, which means that the Joker took his yearly one-night sabbatical to allow awards season to officially begin. The Gotham Awards ceremony is among the first shows of the entertainment awards marathon we’ll be running for the next …	https://www.avclub.com/here-are-the-winners-from-the-2023-gotham-awards-1851051965	2023-11-28T02:55:00Z	The Gotham Awards were tonight, which means that the Joker took his yearly one-night sabbatical to allow awards season to officially begin. The Gotham Awards ceremony is among the first shows of the … [+6823 chars]	NM	Awards							
GeekTyrant	Toho's GODZILLA MINUS ONE Broke a Box Office Record	This past weekend, Toho released Godzilla Minus One in the United States, and for a Japanese film, it had an awesome debut and even broke a box office record. Godzilla Minus One pulled in $11 million in its domestic debut, giving it the all-time highest openi…	https://geektyrant.com/news/tohos-godzilla-minus-one-broke-a-box-office-record	2023-12-05T14:00:00Z	This past weekend, Toho released Godzilla Minus One in the United States, and for a Japanese film, it had an awesome debut and even broke a box office record. Godzilla Minus One pulled in $11 million… [+1356 chars]	Godzilla	Box							
