source	title	description	url	publishedAt	content
Screen Rant	Netflix's 5-Year Oscars Pursuit Hasn't Delivered A Best Picture Win (Can 2024?)	Netflix has spent the last five years vying for an Oscars Best Picture win to no avail despite several nominations, and 2024 will be tough too.	https://screenrant.com/oscars-2024-netflix-best-picture-win-chances/	2023-12-07T18:36:22Z	"Summary
<ul><li> Netflix has funded prestigious films and earned Best Picture nominations in the last five years but has yet to win the top prize at the Oscars. </li><li> Other streaming services, s… [+7565 chars]"
Business Insider	Bob Iger says Disney made too many sequels but he won't apologize for making them	"Referring to ""The Marvels,"" Disney CEO Bob Iger said the movie's poor performance was down to a lack of supervision from executives."	https://www.businessinsider.com/bob-iger-disney-sequels-too-many-wont-apologize-dealbook-summit-2023-11	2023-11-30T04:02:17Z	"Disney CEO Bob Iger (left) and Brie Larson, leading actress of Disney's recent film release, ""The Marvels.""Slaven Vlasic/Getty Images and Disney
<ul><li>Quantity has diluted quality at Disney, CEO B… [+2261 chars]"
iMore	"""You talkin' for me?"" Robert De Niro accuses Apple of censoring his Gotham Awards speech"	Robert De Niro accuses Apple and the Gotham Awards of censoring Donald Trump from his award ceremony speech.	https://www.imore.com/music-movies-tv/you-talkin-for-me-robert-de-niro-accuses-apple-of-censoring-his-gotham-awards-speech	2023-11-28T12:36:12Z	"Robert De Niro was left unimpressed at the Gotham Awards last night after parts of his speech criticizing Donald Trump were edited from the teleprompter without his knowledge.
Introducing an award f… [+1575 chars]"
ABC News	WATCH: 'The Marvels' take over the Las Vegas Sphere	"Captain Marvel’s cat Goose, was on full display outside the new, immersive entertainment venue in Las Vegas for ""The Marvels"" premiere this week."	https://abcnews.go.com/Entertainment/video/marvels-las-vegas-sphere-104806737	2023-11-10T23:37:56Z	"<ul><li>Whats next for Russia? 
</li><li>What comes next after Texas school shooting?
</li><li>What's next for abortion rights in America?
</li><li>The new battle for voting rights
</li><li>How w… [+2272 chars]"
Who What Wear	Killers of The Flower Moon Costumes' Bridge the Gap in Indigenous Representation	We spoke with the costume designer Jacqueline West and consultant Julie O'Keefe about their work on Martin Scorsese's film Killers of The Flower Moon.	https://www.whowhatwear.com/killers-of-flower-moon-costume-design-interview	2023-12-07T23:30:00Z	"Let's start from the beginning: how did you get into costume design?
Jacqueline West: Well, my mother was a fashion designer, but the last thing she wanted for me was the fashion business. So, I wen… [+2595 chars]"
ComingSoon.net	Kim Kardashian’s The Fifth Wheel to Premiere on Netflix	Following her most recent role in Ryan Murphy’s American Horror Story: Delicate, Kim Kardashian continues to pursue new artistic endeavors. Netflix has recently acquired The Fifth Wheel, a comedy film co-written by comedian Janine Brito (Mr. Mayor) and Saturd…	https://www.comingsoon.net/movies/news/1415912-kim-kardashians-the-fifth-wheel-to-premiere-on-netflix	2023-11-27T17:55:47Z	Following her most recent role in Ryan Murphys American Horror Story: Delicate, Kim Kardashian continues to pursue new artistic endeavors. Netflix has recently acquired The Fifth Wheel, a comedy film… [+1723 chars]
HipHopDX	Boosie Badazz Enraged By 'Killers Of The Flower Moon' Movie: 'This P-sses Me The F-ck Off'	"Boosie Badazz shared his thoughts on Martin Scorsese's 'Killers of the Flower Moon,' revealing he ""hated"" the contents of the movie."	https://hiphopdx.com/news/boosie-badazz-killers-flower-moon-angry	2023-11-10T18:00:40Z	"Boosie Badazz has been left seething after watching Killers of the Flower Moon.
The Baton Rouge rapper took to X on Thursday (November 9) to share his thoughts on Martin Scorseses new Western crime … [+1988 chars]"
Time	TikTokers Are Trying to Recreate Taylor Swift’s TIME Person of the Year Cover—And Their Cats Aren’t Having It	Taylor Swift's TIME Person of the Year cover featured her cat Benjamin Button on her shoulders. Her fans tried to recreated the shot on TikTok.	https://time.com/6343823/taylor-swift-person-of-the-year-cover-tiktok-trend-cats/	2023-12-07T17:50:48Z	Cats are known to do one very specific thing: whatever they want. Which is why its usually not a good idea to try to get a house cat to perform a trick, especially one they dont have a choice in. Yes… [+2261 chars]
Deadline	How Robbie Robertson Avoided “Movie Music” In His Score For ‘Killers Of The Flower Moon’ – Sound & Screen Film	Scoring Killers of the Flower Moon was a daunting prospect for Robbie Robertson. The Band co-founder, who died in August at 80, had a vision he wanted to achieve but was “terrified of delivering something ordinary,” explained orchestrator-conductor Mark Graha…	https://deadline.com/2023/11/how-robbie-robertson-avoided-movie-music-in-his-score-for-killers-of-the-flower-moon-sound-screen-film-1235599262/	2023-11-10T19:57:10Z	"Scoring Killers of the Flower Moon was a daunting prospect for Robbie Robertson. 
The Band co-founder, who died in August at 80, had a vision he wanted to achieve but was “terrified of delivering so… [+2115 chars]"
Deadline	Robert De Niro Says Part Of His Speech Excised At Gotham Awards Then Lets It Rip For ‘Killers Of The Flower Moon’ Tribute	Robert De Niro led an eventful to a Killers Of The Flower Moon tribute at the Gotham Awards, seeming to struggle with the teleprompter then circling back to say that his speech had been edited without his knowledge. The star of Martin Scorsese film then went …	https://deadline.com/2023/11/robert-de-niro-killers-of-the-flower-moon-gotham-awards-tribute-1235638999/	2023-11-28T02:26:42Z	Robert De Niro led an eventful Killers Of The Flower Moon tribute at the Gotham Awards tonight, seeming to struggle with the teleprompter but then circling back after a bit to say that his speech had… [+1425 chars]
/FILM	The Creator Of M*A*S*H Always Regretted How The Show Handled Frank	M*A*S*H is well known for its great writing and superb character development, but that wasn&amp;#39;t universal. Case in point Frank Burns, who never changed.	https://www.slashfilm.com/1444565/mash-creator-frank-lazy-writing-regret/	2023-11-12T13:45:34Z	"All in all, though, ""M*A*S*H"" had a surprisingly high hit rate, and the show often weathered major cast and creative transitions without missing a beat. Series creator Larry Gelbart, though, admitted… [+1289 chars]"
/FILM	The Marvels Composer On Going Through 'Marvel College' And Creating Music With 'Space Junk' [Exclusive Interview]	/Film sat down with Laura Karpman, the composer of The Marvels, to talk about finding the sound of the score, getting music out of &amp;#39;space junk,&amp;#39; and more.	https://www.slashfilm.com/1439957/the-marvels-composer-laura-karpman-exclusive-interview/	2023-11-09T18:00:00Z	So when those bigger questions were addressed, how did you go about building your sonic palette for the score? I would love to know more about the human voices, and of course, Evelyn Glennie, who I w… [+1948 chars]
/FILM	Ridley Scott's Napoleon Rides To A $33 Million Debut At The Thanksgiving Box Office	Napoleon is battling Disney&amp;#39;s Wish for second place at the Thanksgiving box office, as Apple Original Films makes another bid for awards season prestige.	https://www.slashfilm.com/1455013/ridley-scott-napoleon-thanksgiving-box-office/	2023-11-25T19:17:21Z	The film's initial haul is nothing to sneeze at, but it's also still far from recouping its costs: Variety puts the movie's production budget alone at $200 million, making it seem likely that this fi… [+1390 chars]
Deadline	‘Killers Of The Flower Moon’ Sets Release Date For On-Demand And Digital Purchase	Martin Scorsese’s acclaimed Killers of the Flower Moon will become available on premium video-on-demand and for digital purchase beginning tomorrow, Dec. 5, in over 100 countries before streaming globally on Apple TV+, Apple Original Films announced today Rec…	https://deadline.com/2023/12/killers-of-the-flower-moon-on-demand-1235650594/	2023-12-04T16:02:07Z	Martin Scorsese’s acclaimed Killers of the Flower Moon will become available on premium video-on-demand and for digital purchase beginning tomorrow, Dec. 5, in over 100 countries before streaming glo… [+1339 chars]
Gizmodo.com	Taylor Swift's Concert Doc Coming to Streaming in December	December is a month that’s known for celebrating a very significant birthday. That’s right, Taylor Swift arrived as a little bundle of joy on the 13th and the mega-star just announced her blockbuster concert film Taylor Swift: The Eras Tour will be hitting st…	https://gizmodo.com/taylor-swift-eras-tour-concert-doc-streaming-dec-13-1851049375	2023-11-27T19:10:00Z	December is a month thats known for celebrating a very significant birthday. Thats right, Taylor Swift arrived as a little bundle of joy on the 13th and the mega-star just announced her blockbuster c… [+1405 chars]
The New Yorker	The Mail	Readers respond to Emma Green’s piece about New York’s teacher-certification requirements, Jackson Arn’s review of “Manet/Degas,” and Anthony Lane’s review of “Killers of the Flower Moon.”	https://www.newyorker.com/magazine/2023/11/20/letters-from-the-november-20-2023-issue	2023-11-13T11:00:00Z	"Learning to Teach
As a masters student in secondary education, at Hunter College, I read with great interest Emma Greens article about a class-action lawsuit that accuses New York City of violating … [+3548 chars]"
Dazed	Martin Scorsese’s editor on the inside story of Killers of the Flower Moon	The director’s longtime editor Thelma Schoonmaker discusses his latest movie and the erotic power of Powell & Pressburger	https://www.dazeddigital.com/film-tv/article/61370/1/martin-scorsese-editor-thelma-schoonmaker-story-of-killers-of-the-flower-moon	2023-11-17T16:04:00Z	In the past few months, you may have noticed cinephiles parading t-shirts with Thelma Schoonmakers name across them, even if theyre a quarter of her age. I started seeing people wearing them at Canne… [+7544 chars]
Los Angeles Times	Don't know Lily Gladstone? The 'Killers of the Flower Moon' star is no newcomer	The Indigenous actor is a strong contender for a lead actress Oscar nomination.	https://www.latimes.com/entertainment-arts/awards/story/2023-11-28/killers-of-the-flower-moon-lily-gladstone	2023-11-28T12:30:28Z	Lily Gladstone, who plays an Osage Nation member married to a white criminal (Leonardo DiCaprio), provides an emotional center for director Martin Scorseses 3½-hour film Killers of the Flower Moon an… [+1583 chars]
BGR	Kelsey Grammer all but confirmed the X-Men will join the MCU soon	"Moviegoers who follow MCU rumors closely knew that the X-Men’s original Beast (Kelsey Grammer) would show up in a post-credits scene of The Marvels. The …
The post Kelsey Grammer all but confirmed the X-Men will join the MCU soon appeared first on BGR."	https://bgr.com/entertainment/kelsey-grammer-all-but-confirmed-the-x-men-will-join-the-mcu-soon/	2023-11-24T02:04:00Z	Moviegoers who follow MCU rumors closely knew that the X-Men’s original Beast (Kelsey Grammer) would show up in a post-credits scene of The Marvels. The surprise cameo leaked in the weeks preceding t… [+4037 chars]
IndieWire	The Long ‘Oppenheimer’ Theatrical Window — and Its Tiny Added Gross — Makes the Case for Earlier Home Releases	Christopher Nolan’s smash was number one on every major VOD chart.	https://www.indiewire.com/news/box-office/vod-charts-oppenheimer-theatrical-window-1234929755/	2023-11-27T22:30:00Z	Christopher Nolan rightly is credited as a champion of the theatrical experience. And the success of “Oppenheimer” (Universal) in theaters, and as a superior experience both in presentation and as pa… [+6530 chars]
Consequence.net	Cape Fear Series in the Works from Steven Spielberg and Martin Scorsese	"The filmmakers will serve as executive producers of the project from creator, executive producer, and showrunner Nick Antosca.
Cape Fear Series in the Works from Steven Spielberg and Martin Scorsese
Eddie Fu"	https://consequence.net/2023/11/cape-fear-series-steven-spielberg-martin-scorsese/	2023-11-21T21:42:34Z	"A Cape Fear series reimagining the 1962 and 1991 thrillers of the same name is in the works with Steven Spielberg and Martin Scorsese as executive producers, reports Deadline.
The show comes from cr… [+1409 chars]"
ComingSoon.net	The Exorcist Believer 4K Blu-ray Release Date Confirmed for Horror Sequel	Legacy horror sequel The Exorcist Believer is heading home with a 4K Blu-ray release date confirmed alongside a digital release. The Exorcist Believer 4K Blu-ray Release Date and Details The Blumhouse film struggled at the box office and made its home rental …	https://www.comingsoon.net/movies/news/1415706-the-exorcist-believer-4k-blu-ray-release-date	2023-11-27T14:22:50Z	"Legacy horror sequel The Exorcist Believer is heading home with a 4K Blu-ray release date confirmed alongside a digital release.
The Blumhouse film struggled at the box office and made its home rent… [+2583 chars]"
IndieWire	In the ‘Hunger Games’ of Box Office, ‘Napoleon’ and ‘Wish’ Fall Short of #1 on a Holiday Weekend	"Ridley Scott's epic surprisingly topped Disney Animation's latest for #2. Netflix may not be willing to acknowledge it, but ""Maestro"" may represent its best platform opening in years."	https://www.indiewire.com/news/box-office/box-office-hunger-games-napoleon-wish-1234929402/	2023-11-26T18:57:35Z	Thanksgiving weekend is normally one of the top-grossing dates. This year, not so much. The debut of two $200 million productions and a second weekend of adequate performance from the “Hunger Games” … [+6813 chars]
